,Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),VaR 95% (%),Beta
Conservative,20.22,15.58,0.91,1.19,-27.51,-1.35,0.74
Balanced,28.27,19.35,1.15,1.4,-37.84,-1.6,0.94
Aggressive,33.83,26.61,1.05,1.16,-45.81,-2.11,1.09
